SESM	LKTY	SETY	IKBM
-2480	-9276	43	-1981
-2363	-8429	-325	-775
-2317	-8799	321	-1452
-1848	-8381	103	-2057
-2083	-8494	583	-1412
-1896	-8481	227	-2007
-1898	-7997	282	-214
-1907	-8676	141	-2607
-2045	-8760	474	-3034
-2271	-9528	272	-2249
-2329	-9026	518	-821
-2184	-8673	392	-897
-2478	-8482	-107	-2397
-2143	-8669	179	-586
-2436	-8919	119	-2352
-2610	-9254	-45	-2587
-2464	-9605	-360	-3964
-2829	-9911	15	-6538
-2950	-9753	135	-7298
-3241	-10231	251	-7687
-2494	-9450	413	-4832
-2467	-8780	31	-2318
-2532	-8251	555	439
-2135	-8416	924	1487
-2229	-8643	997	179
-2512	-9451	748	-2459
-2785	-9688	804	-2417
-2277	-8439	1242	3269
-1591	-7321	867	5745
-1919	-7136	889	3177
-1517	-7346	430	-620
-2068	-8113	1042	-3412
-1520	-4679	638	2632
-1232	-4163	430	4529
